date,Temperatura,Relative_Humidity,Precipitation_Total,Sunshine_Duration,Shortwave_Radiation,Direct_Shortwave_Radiation,Diffuse_Shortwave_Radiation
1/1/17 0:00,8.422492,83,0,0,0,0,0
1/1/17 1:00,7.992492,81,0,0,0,0,0
1/1/17 2:00,7.642492,79,0,0,0,0,0
1/1/17 3:00,6.912492,79,0,0,0,0,0
1/1/17 4:00,6.352492,81,0,0,0,0,0
1/1/17 5:00,6.152492,81,0,0,0,0,0
1/1/17 6:00,5.902492,83,0,0,0,0,0
1/1/17 7:00,5.532492,84,0,0,0,0,0
1/1/17 8:00,5.402492,85,0,0,0,0,0
1/1/17 9:00,5.2024918,85,0,0,0,0,0
1/1/17 10:00,5.982492,82,0,44.083332,24.92,13.038897,11.8811035
1/1/17 11:00,8.382492,73,0,60,161.09,87.86495,73.225044
1/1/17 12:00,10.312492,67,0,60,290.13998,164.80711,125.33287
1/1/17 13:00,12.602492,65,0,60,383.59,223.91086,159.67914
1/1/17 14:00,14.252492,58,0,60,428.97998,253.7269,175.25308
1/1/17 15:00,14.642492,57,0,60,425.41998,251.30515,174.11484
1/1/17 16:00,14.192492,61,0,60,372.02,216.34671,155.67328
1/1/17 17:00,13.522492,63,0,60,273.22998,154.25504,118.974945
1/1/17 18:00,12.482492,72,0,60,141.51,76.54632,64.96368
1/1/17 19:00,11.182492,83,0,33.55,14.24,7.414764,6.825236
1/1/17 20:00,10.282492,89,0,0,0,0,0
1/1/17 21:00,9.662492,88,0,0,0,0,0
1/1/17 22:00,9.142492,86,0,0,0,0,0
1/1/17 23:00,7.992492,86,0,0,0,0,0
1/2/17 0:00,7.642492,82,0,0,0,0,0
1/2/17 1:00,7.292492,79,0,0,0,0,0
1/2/17 2:00,6.892492,80,0,0,0,0,0
1/2/17 3:00,6.342492,79,0,0,0,0,0
1/2/17 4:00,6.032492,78,0,0,0,0,0
1/2/17 5:00,5.882492,77,0,0,0,0,0
1/2/17 6:00,5.742492,75,0,0,0,0,0
1/2/17 7:00,5.642492,73,0,0,0,0,0
1/2/17 8:00,5.762492,70,0,0,0,0,0
1/2/17 9:00,5.902492,67,0,0,0,0,0
1/2/17 10:00,6.682492,63,0,25.773935,29.369999,15.367374,14.0026245
1/2/17 11:00,9.062492,56,0,30,172.66,94.18124,78.47877
1/2/17 12:00,11.902492,51,0,0,293.69998,166.85364,126.84635
1/2/17 13:00,13.622492,60,0,0,352.44,205.777,146.66301
1/2/17 14:00,14.812492,46,0,57.89362,443.22,262.2372,180.98279
1/2/17 15:00,14.942492,46,0,58.085106,440.55,260.35522,180.19476
1/2/17 16:00,14.462492,50,0,57.70213,387.15,225.26416,161.88583
1/2/17 17:00,13.862492,56,0,57.510635,290.13998,163.90283,126.237144
1/2/17 18:00,12.982492,62,0,18.510641,157.53,85.271484,72.258514
1/2/17 19:00,12.362492,68,0,0,18.69,9.735583,8.954417
1/2/17 20:00,11.912492,71,0,0,0,0,0
1/2/17 21:00,11.612492,72,0,0,0,0,0
1/2/17 22:00,11.122492,70,0,0,0,0,0
1/2/17 23:00,10.592492,58,0,0,0,0,0
1/3/17 0:00,10.282492,44,0,0,0,0,0
1/3/17 1:00,9.912492,43,0,0,0,0,0
1/3/17 2:00,9.462492,48,0,0,0,0,0
1/3/17 3:00,9.352492,57,0,0,0,0,0
1/3/17 4:00,9.852492,74,0,0,0,0,0
1/3/17 5:00,9.722492,81,0,0,0,0,0
1/3/17 6:00,9.342492,79,0,0,0,0,0
1/3/17 7:00,8.752492,75,0,0,0,0,0
1/3/17 8:00,8.222492,73,0,0,0,0,0
1/3/17 9:00,7.972492,68,0,0,0,0,0
1/3/17 10:00,8.092492,63,0,43.983334,24.92,13.03909,11.88091
1/3/17 11:00,9.002492,62,0,60,159.31,86.90557,72.40443
1/3/17 12:00,10.302492,70,0,0,284.8,161.82753,122.97246
1/3/17 13:00,10.922492,74,0,0,339.09,198.04259,141.04741
1/3/17 14:00,11.672492,66,0,60,428.09,253.39284,174.69716
1/3/17 15:00,12.062492,63,0,0,422.75,249.97168,172.77832
1/3/17 16:00,11.532492,64,0,59.361702,307.94,181.35776,126.58225
1/3/17 17:00,11.072492,64,0,58.085106,276.79,156.48123,120.30878
1/3/17 18:00,10.932492,65,0,0,145.95999,79.07675,66.88324
1/3/17 19:00,10.832492,70,0,0,12.46,6.4934278,5.9665723
1/3/17 20:00,10.772492,70,0,0,0,0,0
1/3/17 21:00,10.452492,72,0,0,0,0,0
1/3/17 22:00,10.232492,74,0,0,0,0,0
1/3/17 23:00,10.382492,74,0,0,0,0,0
1/4/17 0:00,10.262492,74,0,0,0,0,0
1/4/17 1:00,9.902492,75,0,0,0,0,0
1/4/17 2:00,9.552492,76,0,0,0,0,0
1/4/17 3:00,9.062492,75,0,0,0,0,0
1/4/17 4:00,8.732492,73,0,0,0,0,0
1/4/17 5:00,8.662492,73,0,0,0,0,0
1/4/17 6:00,8.602492,73,0,0,0,0,0
1/4/17 7:00,8.592492,73,0,0,0,0,0
1/4/17 8:00,8.512492,73,0,0,0,0,0
1/4/17 9:00,8.492492,72,0,0,0,0,0
1/4/17 10:00,8.762492,73,0,0,12.46,11.653686,0.80631465
1/4/17 11:00,9.432492,73,0.1,0,69.42,48.859108,20.56089
1/4/17 12:00,10.552492,70,0.1,0,127.27,65.114395,62.155598
1/4/17 13:00,11.692492,66,0,0,186.9,100.89114,86.00885
1/4/17 14:00,13.392492,62,0,60,362.22998,219.24535,142.98463
1/4/17 15:00,13.772492,63,0,60,431.65,255.38988,176.26012
1/4/17 16:00,13.992492,62,0,60,379.13998,220.91054,158.22945
1/4/17 17:00,13.832492,64,0,60,280.35,158.62776,121.722244
1/4/17 18:00,12.862492,71,0,60,148.63,80.59928,68.03072
1/4/17 19:00,11.552492,80,0,36.183334,17.8,9.281061,8.518938
1/4/17 20:00,10.762492,78,0,0,0,0,0
1/4/17 21:00,9.182492,45,0,0,0,0,0
1/4/17 22:00,7.652492,54,0,0,0,0,0
1/4/17 23:00,7.142492,54,0,0,0,0,0
1/5/17 0:00,6.722492,55,0,0,0,0,0
1/5/17 1:00,6.852492,54,0,0,0,0,0
1/5/17 2:00,8.532492,72,0,0,0,0,0
1/5/17 3:00,8.532492,78,0,0,0,0,0
1/5/17 4:00,7.562492,70,0,0,0,0,0
1/5/17 5:00,7.562492,70,0,0,0,0,0
1/5/17 6:00,8.482492,68,0,0,0,0,0
1/5/17 7:00,8.562492,65,0,0,0,0,0
1/5/17 8:00,7.662492,63,0,0,0,0,0
1/5/17 9:00,6.872492,63,0.3,0,0,0,0
1/5/17 10:00,7.442492,59,0,0,18.69,9.779838,8.910163
1/5/17 11:00,8.602492,63,0,0,82.77,75.937904,6.832095
1/5/17 12:00,9.182492,74,0,0,116.59,49.832573,66.75742
1/5/17 13:00,9.812492,71,0,0,190.45999,105.6353,84.82469
1/5/17 14:00,10.862492,45,0,0,260.77,193.74686,67.02314
1/5/17 15:00,11.662492,43,0,0,308.83,208.05804,100.77195
1/5/17 16:00,11.852492,43,0,52.340427,373.8,217.96169,155.8383
