Date,Consumption [kWh],Hour
2019-01-01 00:00:00,4.50598,0
2019-01-01 01:00:00,5.97898,1
2019-01-01 02:00:00,3.7630774999999996,2
2019-01-01 03:00:00,3.6341925,3
2019-01-01 04:00:00,3.5299825,4
2019-01-01 05:00:00,2.9751225,5
2019-01-01 06:00:00,4.66242,6
2019-01-01 07:00:00,8.769615,7
2019-01-01 08:00:00,8.6143625,8
2019-01-01 09:00:00,7.265992500000001,9
2019-01-01 10:00:00,7.254147499999999,10
2019-01-01 11:00:00,6.644595,11
2019-01-01 12:00:00,7.3264675,12
2019-01-01 13:00:00,7.3308575000000005,13
2019-01-01 14:00:00,7.0101675,14
2019-01-01 15:00:00,5.891670000000001,15
2019-01-01 16:00:00,9.2901075,16
2019-01-01 17:00:00,10.04356,17
2019-01-01 18:00:00,12.835775,18
2019-01-01 19:00:00,11.1545475,19
2019-01-01 20:00:00,10.691022499999999,20
2019-01-01 21:00:00,10.0878725,21
2019-01-01 22:00:00,10.1980225,22
2019-01-01 23:00:00,8.714725,23
2019-01-02 00:00:00,3.1315,0
2019-01-02 01:00:00,2.6129249999999997,1
2019-01-02 02:00:00,2.740475,2
2019-01-02 03:00:00,2.6548425,3
2019-01-02 04:00:00,3.2966725,4
2019-01-02 05:00:00,3.356745,5
2019-01-02 06:00:00,5.5067575,6
2019-01-02 07:00:00,9.0741875,7
2019-01-02 08:00:00,11.161315,8
2019-01-02 09:00:00,7.78187,9
2019-01-02 10:00:00,8.57206,10
2019-01-02 11:00:00,5.121305000000001,11
2019-01-02 12:00:00,5.242315,12
2019-01-02 13:00:00,6.23451,13
2019-01-02 14:00:00,5.6118725000000005,14
2019-01-02 15:00:00,5.758637500000001,15
2019-01-02 16:00:00,6.544485,16
2019-01-02 17:00:00,11.2284825,17
2019-01-02 18:00:00,11.859795,18
2019-01-02 19:00:00,11.55184,19
2019-01-02 20:00:00,12.1708175,20
2019-01-02 21:00:00,10.068095,21
2019-01-02 22:00:00,10.604207500000001,22
